Timestamp,Plant Height (cm)
2025-02-16 08:02:16,0.9
2025-02-16 08:02:26,7.2
2025-02-16 08:02:36,1.7000000000000002
2025-02-16 08:02:46,10.200000000000001
2025-02-16 08:02:56,6.2
2025-02-16 08:03:06,3.3000000000000003
2025-02-16 08:03:16,4.1000000000000005
2025-02-16 08:03:24,8.3
2025-02-16 08:03:34,0.9
2025-02-16 08:03:44,1.5
2025-02-16 08:03:54,7.2
2025-02-16 08:04:04,0.6000000000000001
2025-02-16 08:04:14,1.2000000000000002
2025-02-16 08:04:24,0.6000000000000001
2025-02-16 08:04:34,1.0
2025-02-16 08:04:44,0.0
2025-02-16 08:04:54,8.8
2025-02-16 08:05:04,0.4
2025-02-16 08:05:15,8.0
2025-02-16 08:05:25,0.5
2025-02-16 08:05:35,4.9
2025-02-16 08:05:45,1.0
2025-02-16 08:05:55,0.4
2025-02-16 08:05:55,2.7
2025-02-16 08:06:05,0.1
2025-02-16 08:06:15,9.0
2025-02-16 08:06:25,4.9
2025-02-16 08:06:35,0.0
2025-02-16 08:06:45,0.8
2025-02-16 08:06:56,3.4000000000000004
2025-02-16 08:07:06,11.4
2025-02-16 08:07:16,7.1000000000000005
2025-02-16 08:07:26,2.3000000000000003
2025-02-16 08:07:36,1.2000000000000002
2025-02-16 08:07:46,1.9000000000000001
2025-02-16 08:07:56,6.2
